MEDICATION_ID,LINE,RXNORM_CODE,source_system,inserted_timestamp,last_updated_timestamp
MED2397,1,2397,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED41493,1,41493,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1603723,1,1603723,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED42347,1,42347,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED203644,1,203644,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED36437,1,36437,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED596926,1,596926,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED2783,1,2783,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED6809,1,6809,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED2200070,1,2200070,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED593411,1,593411,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED2601723,1,2601723,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1488574,1,1488574,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED2599,1,2599,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED475968,1,475968,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1545150,1,1545150,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED896456,1,896456,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED596927,1,596927,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED40799,1,40799,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED7646,1,7646,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED4278,1,4278,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED283742,1,283742,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1872355,1,1872355,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED10053,1,10053,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED83367,1,83367,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED301542,1,301542,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED866514,1,866514,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED6781,1,6781,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED7514,1,7514,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1373458,1,1373458,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED748856,1,748856,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED9997,1,9997,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED274783,1,274783,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED5470,1,5470,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED29046,1,29046,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED17767,1,17767,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED341248,1,341248,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED904435,1,904435,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED329498,1,329498,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED10582,1,10582,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1364430,1,1364430,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED703,1,703,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1876366,1,1876366,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED3441,1,3441,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1111555,1,1111555,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED203326,1,203326,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED40790,1,40790,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED3407,1,3407,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1000001,1,1000001,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1656340,1,1656340,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED20352,1,20352,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED11289,1,11289,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1114839,1,1114839,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
MED1037042,1,1037042,EPIC_PROD,2026-05-27 19:21:48.681928,2026-05-27 19:21:48.681928
